Origin,January.FlightCount,January.DepDly,January.ArrDly,February.FlightCount,February.DepDly,February.ArrDly,March.FlightCount,March.DepDly,March.ArrDly,April.FlightCount,April.DepDly,April.ArrDly,May.FlightCount,May.DepDly,May.ArrDly,June.FlightCount,June.DepDly,June.ArrDly,July.FlightCount,July.DepDly,July.ArrDly,August.FlightCount,August.DepDly,August.ArrDly,September.FlightCount,September.DepDly,September.ArrDly,October.FlightCount,October.DepDly,October.ArrDly,November.FlightCount,November.DepDly,November.ArrDly,December.FlightCount,December.DepDly,December.ArrDly
GTR,83,1485,1607,81,1874,1808,89,453,378,85,882,861,89,664,785,86,735,820,86,1955,2004,89,1587,1527,84,850,802,88,1082,1009,80,1106,1207,73,1062,1125
GUM,31,230,205,29,63,104,31,214,119,30,79,48,31,552,518,30,120,39,31,514,470,31,654,491,30,394,434,32,173,86,30,188,225,31,789,777
HDN,185,1911,1987,174,598,578,189,2076,2198,39,542,652,31,111,164,30,463,526,32,446,463,47,453,548,60,511,562,53,295,274,30,389,465,155,4884,4390
HIB,83,3155,3563,79,1617,1670,85,439,613,81,1127,1256,84,1183,1167,82,1733,1781,83,941,950,85,984,997,82,1358,1421,83,125,252,80,2099,2111,84,840,1320
HLN,118,446,669,122,450,501,146,441,566,141,843,953,146,205,295,144,145,141,148,1102,1176,151,1014,982,144,382,425,150,364,422,140,301,349,127,2072,2208
HNL,3870,18878,13659,3596,15418,12441,3965,22069,18874,3828,15684,16613,3999,17723,18628,4158,23067,26051,4338,28389,30226,4295,19732,20750,3724,19109,20919,3809,20751,19677,3697,19173,23313,4269,40336,40978
HOB,49,407,426,49,299,316,49,585,583,47,139,148,57,452,428,56,896,813,56,674,615,55,1045,946,47,406,360,52,106,165,52,143,115,52,1500,1475
HOU,4540,34252,28878,4224,23847,21381,4652,50699,49716,4357,46915,49505,4433,58800,59524,4658,96721,94529,4758,98855,94685,4620,51650,53102,4362,31756,31700,4465,26955,27564,4477,32149,31996,4656,47350,44606
HPN,548,6905,8382,534,9641,10186,613,5839,6470,589,6731,6587,606,7473,8708,633,10141,10617,609,15233,15707,613,17084,15765,563,8644,8799,642,8668,7821,592,7873,6642,586,9029,9932
HRL,244,940,905,236,563,702,269,2434,2206,246,2526,2587,260,2861,2856,264,3593,3632,274,3048,3420,268,1923,2088,246,1487,1612,218,1124,1202,228,1214,1382,222,1855,1761
