Origin,Dest
FLL,DFW
FLL,SAN
FLL,ORD
FLL,CLE
FLL,LGA
FLL,RSW
FLL,ALB
FLL,PHL
FLL,LAX
FLL,SWF
FLL,SEA
FLL,MCO
FLL,IAH
FLL,MYR
FLL,SYR
FLL,CLT
FLL,BNA
FLL,CMH
FLL,DAL
FLL,HOU
FLL,IND
FLL,ACY
FLL,BQN
FLL,IAD
FLL,ISP
FLL,IAG
FLL,MCI
FLL,MDW
FLL,MKE
FLL,STL
FLL,DEN
FLL,MSY
FLL,CVG
FLL,TPA
FLL,CAK
FLL,LAS
FLL,STT
FLL,RDU
FLL,DCA
FLL,JFK
FLL,ATL
FLL,SJU
FLL,JAX
FLL,DTW
FLL,LBE
FLL,CHS
FLL,PBG
FLL,RIC
FLL,PVD
FLL,BUF
FLL,MHT
FLL,PIT
FLL,ORH
FLL,HPN
FLL,MSP
FNT,BWI
FNT,ATL
FNT,RSW
FNT,LAS
FNT,MCO
FNT,ORD
FNT,TPA
FNT,EWR
FNT,MSP
FNT,MDW
FSD,DVL
FSD,DEN
FSD,ATL
FSD,ORD
FSD,MSP
FSM,DFW
FSM,ATL
FWA,ORD
FWA,ATL
FWA,DTW
FWA,MSP
FWA,EWR
GCC,SLC
GCC,DEN
GCK,HYS
GCK,DFW
GEG,ANC
GEG,SEA
GEG,SLC
GEG,MSP
GEG,LWS
GEG,LAX
GEG,PHX
GEG,DEN
GEG,MDW
GEG,OAK
GEG,BOI
GEG,LAS
GFK,MSP
GGG,DFW
GJT,DEN
GJT,SLC
GJT,IAH
GJT,PHX
GNV,ATL
GPT,ATL
GPT,DFW
GPT,IAH
GRB,MSY
GRB,ATL
GRB,MSP
GRB,CMX
GRB,ORD
GRB,DTW
GRB,ATW
GRI,DFW
GRK,DFW
GRK,ATL
GRK,IAH
GRR,ORD
GRR,MCO
GRR,BWI
GRR,EWR
GRR,STL
GRR,RSW
GRR,MDW
GRR,DEN
GRR,ATL
GRR,LGA
GRR,IAH
GRR,DTW
GRR,MSP
GRR,TPA
GSO,ORD
GSO,DTW
GSO,EWR
GSO,LGA
GSO,ROA
GSO,DEN
