Origin,Monday.FlightCount,Monday.DepDly,Monday.ArrDly,Tuesday.FlightCount,Tuesday.DepDly,Tuesday.ArrDly,Wednesday.FlightCount,Wednesday.DepDly,Wednesday.ArrDly,Thursday.FlightCount,Thursday.DepDly,Thursday.ArrDly,Friday.FlightCount,Friday.DepDly,Friday.ArrDly,Saturday.FlightCount,Saturday.DepDly,Saturday.ArrDly,Sunday.FlightCount,Sunday.DepDly,Sunday.ArrDly
LAS,21821,245452,243365,21512,239763,227083,21690,233658,225023,22017,331036,324716,22608,336793,336864,19929,218389,205936,21706,276733,283663
LAW,162,3913,4064,165,1887,1970,166,1443,1535,163,2326,2509,167,2633,2821,156,2884,2976,161,1093,1206
LAX,31627,473871,454918,30813,371011,350465,31279,403956,393577,31840,476869,466175,32531,541901,537517,26823,328849,311346,30166,460313,447424
LBB,677,6440,6311,668,4962,5213,674,4602,4794,685,8445,8319,691,6972,6606,551,3549,3759,631,5480,5476
LBE,165,1702,1721,129,2257,2509,117,1441,1569,155,1454,1663,168,2537,2580,147,1923,1970,165,2012,2218
LCH,190,2062,2268,186,1471,1344,189,2253,2368,194,2533,2631,191,1526,1556,139,2213,2187,175,2162,2292
LEX,786,10083,9632,784,10899,11169,784,9159,9424,781,10777,11080,810,12626,12679,532,5471,5383,693,11833,12012
LFT,472,9420,9372,443,3556,3636,457,4544,4948,463,5702,5827,484,5872,5672,324,3135,3070,452,7497,7578
LGA,14964,247777,242585,14893,235785,242807,14992,195107,201180,15153,267385,272366,15312,297523,301117,9611,131985,120941,12489,184987,170960
LGB,1637,16728,17203,1539,15250,15538,1542,13592,13123,1633,24642,25321,1677,27697,28096,1511,15483,15251,1624,22695,23101
LIH,1606,7517,7891,1575,7515,7545,1589,6199,6979,1662,9194,9866,1877,11273,12174,1874,10948,11004,1712,8811,9380
LIT,1255,10693,11112,1247,10155,10324,1253,11364,10917,1270,11394,11485,1293,12692,12726,926,7582,7632,1149,10171,9924
LNK,450,3981,4405,464,4228,4390,437,4258,4724,452,4950,5382,460,6538,7200,346,2620,3118,445,5425,5649
