Origin,TotalFlightCount,TotalCarrierDly,TotalWeatherDly,TotalNASDly,TotalSecurityDly,TotalLateAircraftDly,AvgDly
SLC,109022,303540,47146,214895,862,266933,7.64 
SMF,41424,107124,5428,75818,151,196132,9.29 
SNA,42856,77534,10622,100999,98,153411,8.00 
SPI,1738,8742,180,4181,0,10068,13.33 
SRQ,3281,12084,726,10623,16,18080,12.66 
STL,55827,160040,23798,119895,536,245137,9.84 
STT,5110,19722,1869,10702,412,29368,12.15 
STX,1143,5118,25,1613,341,4577,10.21 
SUN,1254,2451,1012,4480,23,6998,11.93 
SWF,736,3692,124,1575,0,4654,13.65 
SYR,5894,25726,2185,21928,13,26312,12.92 
TLH,2568,9937,544,3455,0,10078,9.35 
TPA,68350,180337,28895,160634,187,318096,10.07 
TRI,2161,12953,478,2264,0,11393,12.53 
TTN,2109,7372,1023,8128,0,13463,14.22 
TUL,14174,36374,4780,28480,74,45030,8.09 
TUS,16202,49763,6857,41465,20,60745,9.80 
TVC,2225,7271,775,5668,0,13618,12.28 
TWF,1096,2215,1449,1275,16,3414,7.64 
TXK,855,6249,0,1317,0,6701,16.69 
TYS,7217,33152,715,18677,0,33561,11.93 
VLD,1028,5433,0,1068,0,5768,11.93 
VPS,4210,14576,923,8072,53,17446,9.76 
WRG,728,1887,201,425,0,3086,7.69 
XNA,5779,28290,2302,16922,0,30371,13.48 
YAK,725,170,67,278,18,2009,3.51 
YUM,1960,3734,283,2494,1,5042,5.89 
