Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
EGE,254,6400,6082,2717,63,263,0,2758
EKO,104,736,984,231,118,183,5,332
ELM,281,2836,2625,1308,0,160,0,941
ELP,1761,22580,21914,5981,1421,2714,37,9832
ERI,117,823,956,289,16,468,0,89
ESC,105,1658,1573,555,0,54,0,923
EUG,528,9748,10312,691,37,4734,0,4440
EVV,431,6425,6538,1890,0,1602,0,2587
EWN,104,1122,1166,259,0,58,0,752
EWR,17643,321729,298192,90770,12965,59706,17,117795
EYW,253,3958,3736,2057,169,168,0,1231
FAI,372,2201,2235,763,0,383,0,663
FAR,610,6006,6465,2001,75,1933,0,2011
FAT,1238,21728,21879,9458,99,4963,8,6253
FAY,259,3768,3436,1249,0,176,0,1695
FCA,348,2217,2438,112,756,792,0,500
FLG,273,2171,2125,720,106,153,0,801
FLL,12241,196466,197575,49216,5511,62223,606,67161
FNT,587,4178,4160,1461,201,762,0,1177
FSD,646,10469,11968,2846,2929,2850,25,2669
FSM,167,2922,2944,1705,0,215,0,902
FWA,641,8325,8134,3973,73,988,0,2367
GCC,159,731,950,98,0,380,0,409
GCK,63,3578,3558,2413,0,82,0,1002
GEG,1496,11099,12102,3244,285,1931,0,4798
GFK,242,883,1135,279,0,245,0,380
GGG,58,951,1088,90,0,114,0,784
GJT,443,3078,3458,1561,237,722,0,611
GNV,358,5232,5128,1912,124,334,0,2509
GPT,473,5483,5806,1751,0,983,0,2638
GRB,573,6104,6695,1913,2,1489,0,2800
GRI,49,1209,1428,859,0,229,0,290
GRK,320,2932,3087,1315,17,475,0,1059
GRR,1394,14313,14747,4826,137,3068,0,5411
GSO,938,14363,14123,5109,0,3148,0,5232
GSP,1104,11477,11502,3491,286,2973,18,3767
GST,12,106,108,0,0,0,67,0
GTF,275,3019,3288,1109,569,552,11,938
GTR,154,2417,2608,1148,0,236,0,1079
GUC,31,253,247,52,0,44,0,115
GUM,54,635,597,120,0,40,0,408
HDN,135,1410,1309,237,505,163,0,261
HIB,158,2039,2206,537,0,207,0,1318
HLN,253,1606,1745,820,114,238,0,367
HNL,7261,41088,41162,17614,424,2577,134,11270
HOB,105,639,651,157,0,251,0,196
HOU,8218,106963,104587,29495,5175,15186,245,43554
HPN,1098,17698,18691,5084,558,4322,309,7295
HRL,442,4919,4817,1251,53,427,0,2699
HSV,646,6193,6029,2198,4,1844,0,1510
HYA,22,313,315,2,0,170,0,132
HYS,106,1061,1190,171,20,362,0,581
IAD,5180,60161,58240,17650,2329,16041,0,18412
IAG,99,1397,1228,66,0,447,0,598
IAH,21146,259151,246304,68837,21087,61182,30,76292
ICT,1175,14737,15130,5190,88,3747,0,5155
IDA,368,3950,4313,251,864,567,0,2350
ILM,394,5507,5537,3345,0,307,0,1588
IMT,105,892,836,116,79,97,0,499
IND,4098,43412,42852,11307,2174,9522,21,15739
INL,104,2507,2004,730,317,262,0,582
ISN,238,2532,2525,1548,80,166,0,574
ISP,691,7337,7398,2534,595,1278,0,2352
ITH,138,1252,1368,502,0,184,0,492
ITO,921,3514,4331,963,143,95,0,1837
JAC,541,9707,9906,1673,171,2461,32,5208
JAN,815,7938,8027,2693,23,1737,0,3056
JAX,2859,31570,30314,7573,420,7975,0,11846
JFK,14752,278216,288611,85733,33593,76565,1060,77482
JLN,62,656,434,131,0,41,0,188
JMS,159,1904,1817,1050,51,108,0,466
JNU,676,4066,4310,1657,128,502,58,1236
KOA,1910,11081,11434,1971,235,1320,0,5308
KTN,363,3540,3723,754,206,196,26,2138
LAN,384,4257,4842,1026,56,1241,0,2248
LAR,105,956,876,214,0,452,0,119
