Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
CHS,1226,9674,9431,2454,296,2825,0,2827
CID,441,4710,4841,1085,248,830,0,2245
CIU,58,1177,1234,400,319,122,0,318
CLE,2812,29938,29798,9343,547,12173,0,5193
CLL,50,343,332,0,0,3,0,318
CLT,9346,68976,72439,24365,348,21249,472,16237
CMH,1979,15559,16746,2924,864,4126,0,6987
CMX,62,828,1012,20,12,661,0,215
COD,64,826,952,524,89,119,0,151
COS,581,7329,8306,3048,372,1788,2,2398
CPR,101,1855,1860,22,1368,77,0,346
CRP,254,1988,2067,550,157,259,0,903
CRW,205,1772,2155,374,35,559,0,830
CSG,120,642,688,233,0,48,0,344
CVG,1426,16550,17906,6807,409,4908,0,4681
CWA,34,183,231,17,0,86,0,106
DAB,182,2071,1765,647,0,374,0,644
DAL,5932,65505,70524,14222,5383,16884,146,25333
DAY,547,5590,5832,2373,46,1769,0,1290
DCA,6753,58758,62121,14149,1521,14534,0,25155
DEN,19088,228075,221796,50385,17101,50102,144,83530
DFW,17044,254771,270277,70590,14382,57540,214,107001
DHN,119,752,667,289,0,56,0,216
DLH,234,3461,3995,698,109,968,0,1906
DRO,175,1677,2056,338,0,740,0,730
DSM,671,5299,5567,1742,333,1505,0,1377
DTW,10505,118090,127514,43982,6497,41089,16,26955
DVL,49,260,366,44,0,88,0,193
EAU,58,217,195,0,0,23,0,143
ECP,411,1835,1632,56,88,253,0,933
EGE,322,7099,6747,1932,168,857,0,3548
EKO,53,727,769,365,0,27,10,332
