Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
FAY,145,1216,985,75,0,30,0,825
FCA,166,1524,1613,961,0,279,0,250
FLG,157,1142,1504,117,0,824,0,247
FLL,6013,60413,56369,13279,1033,17708,247,19272
FNT,294,1865,2224,1048,2,557,0,319
FSD,430,5165,5289,2413,904,564,25,960
FSM,93,444,436,16,0,84,0,312
FWA,370,4118,4146,1779,0,477,0,1496
GCC,88,570,590,515,0,24,0,6
GCK,62,1083,1146,768,0,76,0,220
GEG,808,5812,5804,1840,144,783,0,2103
GFK,174,918,978,471,0,58,0,280
GGG,25,267,328,7,0,35,0,240
GJT,280,2239,2276,565,0,1112,0,360
GNV,198,2008,1887,1276,0,113,0,429
GPT,267,1187,1261,395,0,293,0,436
GRB,300,2928,3040,1007,0,997,16,752
GRI,57,441,639,287,0,204,0,120
GRK,127,1379,1304,826,0,0,0,404
GRR,810,4943,4836,677,68,749,0,2665
GSO,633,7387,7427,2579,0,1779,0,2567
GSP,566,3036,3049,896,0,726,0,986
GTF,124,82,195,0,34,47,0,19
GTR,88,1082,1009,509,0,21,0,448
GUM,32,173,86,80,0,0,0,0
HDN,53,295,274,33,36,12,0,181
HIB,83,125,252,9,0,99,0,62
HLN,150,364,422,249,0,80,0,4
HNL,3809,20751,19677,10759,0,871,0,4416
HOB,52,106,165,0,0,120,0,38
HOU,4465,26955,27564,8967,194,4674,0,7539
HPN,642,8668,7821,2910,0,1321,0,3041
HRL,218,1124,1202,261,0,118,0,619
HSV,368,2605,2449,1046,0,759,0,463
HYA,5,34,47,0,0,47,0,0
HYS,52,94,100,0,0,0,0,82
IAD,3080,25718,27890,8440,291,10870,0,5797
IAG,23,236,232,23,0,185,0,11
IAH,11571,92278,80347,26695,1092,20614,219,23209
ICT,654,3648,3763,1546,0,928,0,831
