Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
GFK,120,1406,1406,69,341,71,0,840
GGG,33,1025,1132,323,0,109,0,658
GJT,264,2062,2328,1450,0,400,0,306
GNV,179,3072,3071,1210,0,547,0,1136
GPT,270,3549,3511,477,0,694,0,2163
GRB,380,5127,5070,936,309,1249,0,2382
GRI,49,1450,1557,962,0,104,0,382
GRK,128,1491,1569,642,0,136,0,734
GRR,691,10086,10295,2400,258,3297,0,3809
GSO,493,9319,9250,1930,7,2727,0,4331
GSP,551,11090,10799,3051,60,3410,0,3771
GST,31,295,281,102,0,3,85,38
GTF,245,2591,2559,1539,0,115,0,777
GTR,86,1955,2004,1023,0,107,0,838
GUC,32,580,551,482,0,18,0,25
GUM,31,514,470,416,0,28,0,0
HDN,32,446,463,15,0,432,0,0
HIB,83,941,950,256,58,90,0,475
HLN,148,1102,1176,776,0,65,0,235
HNL,4338,28389,30226,14307,907,1445,16,7980
HOB,56,674,615,130,0,405,0,73
HOU,4758,98855,94685,34886,3245,10297,32,40050
HPN,609,15233,15707,4781,1275,3769,125,5177
HRL,274,3048,3420,474,40,840,0,1830
